fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,NAC,,"3,356","223,583",-13145,-5.552786320164915,SELL
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,AMZN,,"3,057",965,-12,-1.2282497441146365,SELL
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,FTHY,,"2,139","103,674",103674,,BUY
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,MSFT,,"1,721","8,099",-336,-3.9834024896265556,SELL
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,VOX,,"1,486","14,454",615,4.4439627140689355,BUY
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,NVG,,"1,416","87,700",87700,,BUY
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,CHY,,"1,416","116,829",116829,,BUY
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,NFLX,,"1,264","2,555",121,4.971240755957272,BUY
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,DIS,,"1,150","8,851",66,0.7512805919180421,BUY
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,DIS,,"1,150","8,851",-8851,-100.0,SELL
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,AAPL,,"5,565","48,050",36389,312.05728496698396,BUY
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,NAC,,"3,380","232,125",8542,3.820505136794837,BUY
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,AMZN,,"3,124",992,27,2.7979274611398965,BUY
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,FTHY,,"2,107","104,544",870,0.8391689333873489,BUY
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,MSFT,,"1,706","8,109",10,0.12347203358439314,BUY
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,VOX,,"1,438","14,113",-341,-2.359208523592085,SELL
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,NVG,,"1,373","87,700",0,0.0,HOLD
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,CHY,,"1,363","116,707",-122,-0.10442612707461332,SELL
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,NFLX,,"1,288","2,575",20,0.7827788649706457,BUY
"20/20 Capital Management, Inc.",11/3/2020,Q3 2020,NVDA,,"1,237","2,286",2286,,BUY
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,NVG,,"1,373","87,700",-87700,-100.0,SELL
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,CHY,,"1,363","116,707",-116707,-100.0,SELL
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,NFLX,,"1,288","2,575",-2575,-100.0,SELL
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,NVDA,,"1,237","2,286",-2286,-100.0,SELL
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,MSFT,,"8,912","37,208",29099,358.84819336539647,BUY
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,AAPL,,"6,513","48,246",196,0.40790842872008326,BUY
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,AMZN,,"3,934","1,164",172,17.338709677419356,BUY
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,NAC,,"3,604","237,410",5285,2.276790522347873,BUY
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,JNJ,,"2,449","15,186",15186,,BUY
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,FTHY,,"1,970","99,791",-4753,-4.546411080501989,SELL
"20/20 Capital Management, Inc.",2/3/2021,Q4 2020,VOX,,"1,674","13,452",-661,-4.683625026571246,SELL
"20/20 Capital Management, Inc.",5/12/2021,Q1 2021,MSFT,,"8,812","37,374",166,0.4461406149215223,BUY
"20/20 Capital Management, Inc.",5/12/2021,Q1 2021,AAPL,,"6,018","49,268",1022,2.118310326244663,BUY
"20/20 Capital Management, Inc.",5/12/2021,Q1 2021,AMZN,,"3,716","1,201",37,3.178694158075601,BUY
"20/20 Capital Management, Inc.",5/12/2021,Q1 2021,NAC,,"3,343","224,969",-12441,-5.240301587970178,SELL
"20/20 Capital Management, Inc.",5/12/2021,Q1 2021,JNJ,,"2,513","15,292",106,0.6980113262215198,BUY
"20/20 Capital Management, Inc.",5/12/2021,Q1 2021,COST,,"2,072","5,880",5880,,BUY
"20/20 Capital Management, Inc.",5/12/2021,Q1 2021,FTHY,,"1,882","94,812",-4979,-4.989427904320029,SELL
"20/20 Capital Management, Inc.",5/12/2021,Q1 2021,VOX,,"1,677","12,898",-554,-4.118346714243235,SELL
"20/20 Capital Management, Inc.",7/12/2021,Q2 2021,FTHY,,"1,882","94,812",-94812,-100.0,SELL
"20/20 Capital Management, Inc.",7/12/2021,Q2 2021,MSFT,,"10,515","38,813",1439,3.8502702413442504,BUY
"20/20 Capital Management, Inc.",7/12/2021,Q2 2021,AAPL,,"6,922","50,541",1273,2.5838272306568157,BUY
"20/20 Capital Management, Inc.",7/12/2021,Q2 2021,AMZN,,"4,194","1,219",18,1.4987510407993339,BUY
"20/20 Capital Management, Inc.",7/12/2021,Q2 2021,NAC,,"3,381","213,333",-11636,-5.172268179171353,SELL
"20/20 Capital Management, Inc.",7/12/2021,Q2 2021,JNJ,,"2,534","15,384",92,0.6016217630133402,BUY
"20/20 Capital Management, Inc.",7/12/2021,Q2 2021,COST,,"2,318","5,858",-22,-0.37414965986394555,SELL
"20/20 Capital Management, Inc.",7/12/2021,Q2 2021,VOX,,"1,770","12,308",-590,-4.5743526128081875,SELL
"22NW, LP",2/14/2017,Q4 2016,BERY,,"10,886","223,399",223399,,BUY
"22NW, LP",2/14/2017,Q4 2016,STRL,,"8,760","1,035,462",1035462,,BUY
"22NW, LP",2/14/2017,Q4 2016,TAST,,"7,842","514,258",514258,,BUY
"22NW, LP",2/14/2017,Q4 2016,AEPI,,"4,455","38,368",38368,,BUY
"22NW, LP",2/14/2017,Q4 2016,MTZ,,"4,194","109,656",109656,,BUY
"22NW, LP",2/14/2017,Q4 2016,,,"3,305","172,134",172134,,BUY
"22NW, LP",2/14/2017,Q4 2016,LAYN,,"2,699","248,285",248285,,BUY
"22NW, LP",2/14/2017,Q4 2016,VVI,,"2,566","58,185",58185,,BUY
"22NW, LP",2/14/2017,Q4 2016,RCKY,,"2,483","215,015",215015,,BUY
"22NW, LP",2/14/2017,Q4 2016,,,"2,415","371,603",371603,,BUY
"22NW, LP",2/14/2017,Q4 2016,RLGT,,"2,413","618,622",618622,,BUY
"22NW, LP",2/14/2017,Q4 2016,USAP,,"2,333","172,655",172655,,BUY
"22NW, LP",2/14/2017,Q4 2016,PRGX,,"2,317","392,792",392792,,BUY
"22NW, LP",2/14/2017,Q4 2016,FSTR,,"2,239","164,668",164668,,BUY
"22NW, LP",2/14/2017,Q4 2016,ORN,,"2,228","223,883",223883,,BUY
"22NW, LP",2/14/2017,Q4 2016,GLDD,,"2,208","525,762",525762,,BUY
"22NW, LP",2/14/2017,Q4 2016,BAC,,"2,038","92,209",92209,,BUY
"22NW, LP",2/14/2017,Q4 2016,ALSK,,"2,016","1,229,084",1229084,,BUY
"22NW, LP",2/14/2017,Q4 2016,LINC,,"1,989","1,036,007",1036007,,BUY
"22NW, LP",2/14/2017,Q4 2016,BOOM,,"1,946","122,784",122784,,BUY
"22NW, LP",2/14/2017,Q4 2016,SRGA,,"1,941","597,336",597336,,BUY
"22NW, LP",2/14/2017,Q4 2016,AP,,"1,908","113,891",113891,,BUY
"22NW, LP",2/14/2017,Q4 2016,BGC,,"1,837","96,456",96456,,BUY
"22NW, LP",2/14/2017,Q4 2016,BXMT,,"1,826","60,711",60711,,BUY
"22NW, LP",2/14/2017,Q4 2016,KKR,,"1,690","109,780",109780,,BUY
"22NW, LP",2/14/2017,Q4 2016,KS,,"1,671","75,792",75792,,BUY
"22NW, LP",2/14/2017,Q4 2016,VAL,,"1,610","15,536",15536,,BUY
"22NW, LP",2/14/2017,Q4 2016,,,"1,598","225,713",225713,,BUY
"22NW, LP",2/14/2017,Q4 2016,PFMT,,"1,590","676,497",676497,,BUY
"22NW, LP",2/14/2017,Q4 2016,UTI,,"1,564","537,397",537397,,BUY
"22NW, LP",2/14/2017,Q4 2016,UFPT,,"1,541","60,551",60551,,BUY
"22NW, LP",2/14/2017,Q4 2016,LDR,,"1,501","31,200",31200,,BUY
"22NW, LP",2/14/2017,Q4 2016,GIFI,,"1,443","121,244",121244,,BUY
"22NW, LP",2/14/2017,Q4 2016,ACNT,,"1,421","129,817",129817,,BUY
"22NW, LP",2/14/2017,Q4 2016,SHOR,,"1,412","197,479",197479,,BUY
"22NW, LP",2/14/2017,Q4 2016,ENG,,"1,408","588,969",588969,,BUY
"22NW, LP",2/14/2017,Q4 2016,XRX,,"1,355","155,187",155187,,BUY
"22NW, LP",2/14/2017,Q4 2016,MIND,,"1,345","324,123",324123,,BUY
"22NW, LP",2/14/2017,Q4 2016,GEOS,,"1,317","64,678",64678,,BUY
"22NW, LP",2/14/2017,Q4 2016,DXPE,,"1,282","36,915",36915,,BUY
"22NW, LP",2/14/2017,Q4 2016,PLPC,,"1,265","21,773",21773,,BUY
"22NW, LP",2/14/2017,Q4 2016,TLRDQ,,"1,255","49,100",49100,,BUY
"22NW, LP",2/14/2017,Q4 2016,PWR,,"1,227","35,200",35200,,BUY
"22NW, LP",2/14/2017,Q4 2016,INFU,,"1,139","446,753",446753,,BUY
"22NW, LP",2/14/2017,Q4 2016,SIEN,,"1,128","132,400",132400,,BUY
"22NW, LP",5/15/2017,Q1 2017,AEPI,,"4,455","38,368",-38368,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,BXMT,,"1,826","60,711",-60711,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,UFPT,,"1,541","60,551",-60551,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,LDR,,"1,501","31,200",-31200,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,XRX,,"1,355","155,187",-155187,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,DXPE,,"1,282","36,915",-36915,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,TLRDQ,,"1,255","49,100",-49100,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,INFU,,"1,139","446,753",-446753,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,SIEN,,"1,128","132,400",-132400,-100.0,SELL
"22NW, LP",5/15/2017,Q1 2017,BERY,,"19,285","397,046",173647,77.72953325663946,BUY
"22NW, LP",5/15/2017,Q1 2017,STRL,,"10,357","1,119,638",84176,8.129318120800184,BUY
"22NW, LP",5/15/2017,Q1 2017,TAST,,"8,043","568,385",54127,10.52526163909944,BUY
"22NW, LP",5/15/2017,Q1 2017,RLGT,,"5,766","1,153,153",534531,86.40672333024044,BUY
"22NW, LP",5/15/2017,Q1 2017,MTZ,,"4,792","119,656",10000,9.119428029473992,BUY
"22NW, LP",5/15/2017,Q1 2017,LINC,,"3,314","1,179,469",143462,13.84758983288723,BUY
"22NW, LP",5/15/2017,Q1 2017,PFMT,,"3,193","1,089,646",413149,61.07181554389746,BUY
"22NW, LP",5/15/2017,Q1 2017,BOOM,,"3,035","244,721",121937,99.31017070628096,BUY
"22NW, LP",5/15/2017,Q1 2017,USAP,,"3,007","176,855",4200,2.432596797080884,BUY
"22NW, LP",5/15/2017,Q1 2017,,,"2,972","440,302",68699,18.487202740559145,BUY
"22NW, LP",5/15/2017,Q1 2017,FSTR,,"2,691","215,284",50616,30.738212646051448,BUY
"22NW, LP",5/15/2017,Q1 2017,VVI,,"2,630","58,185",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,PRGX,,"2,514","392,792",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,RCKY,,"2,483","215,015",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,SRGA,,"2,392","598,036",700,0.11718697684385337,BUY
"22NW, LP",5/15/2017,Q1 2017,ALSK,,"2,274","1,229,084",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,LAYN,,"2,195","248,285",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,BGC,,"2,177","121,256",24800,25.711205109065272,BUY
"22NW, LP",5/15/2017,Q1 2017,BAC,,"2,175","92,209",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,GLDD,,"2,139","534,815",9053,1.7218817639920725,BUY
"22NW, LP",5/15/2017,Q1 2017,KKR,,"2,001","109,780",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,ACNT,,"1,964","160,345",30528,23.516180469430044,BUY
"22NW, LP",5/15/2017,Q1 2017,GIFI,,"1,957","169,415",48171,39.73062584540266,BUY
"22NW, LP",5/15/2017,Q1 2017,ORN,,"1,858","248,755",24872,11.109374092718072,BUY
"22NW, LP",5/15/2017,Q1 2017,UTI,,"1,854","537,397",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,GEOS,,"1,845","113,693",49015,75.78311017656699,BUY
"22NW, LP",5/15/2017,Q1 2017,,,"1,752","136,334",-35800,-20.797750589656896,SELL
"22NW, LP",5/15/2017,Q1 2017,KS,,"1,751","75,792",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,SHOR,,"1,750","284,479",87000,44.055317274241816,BUY
"22NW, LP",5/15/2017,Q1 2017,VAL,,"1,724","15,536",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,,,"1,722","414,829",414829,,BUY
"22NW, LP",5/15/2017,Q1 2017,PLPC,,"1,609","30,859",9086,41.7305837505167,BUY
"22NW, LP",5/15/2017,Q1 2017,AP,,"1,600","113,891",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,MIND,,"1,588","324,123",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,,,"1,536","513,845",513845,,BUY
"22NW, LP",5/15/2017,Q1 2017,ENG,,"1,508","814,999",226030,38.37723207842858,BUY
"22NW, LP",5/15/2017,Q1 2017,SIF,,"1,464","180,727",180727,,BUY
"22NW, LP",5/15/2017,Q1 2017,,,"1,350","228,813",3100,1.3734255448290529,BUY
"22NW, LP",5/15/2017,Q1 2017,PWR,,"1,306","35,200",0,0.0,HOLD
"22NW, LP",5/15/2017,Q1 2017,NTIC,,"1,191","65,255",65255,,BUY
"22NW, LP",5/15/2017,Q1 2017,CROX,,"1,161","164,154",164154,,BUY
"22NW, LP",5/15/2017,Q1 2017,DWSN,,"1,144","205,689",205689,,BUY
"22NW, LP",5/15/2017,Q1 2017,EVOL,,"1,114","229,752",229752,,BUY
"22NW, LP",5/15/2017,Q1 2017,MS,,"1,110","25,900",25900,,BUY
"22NW, LP",5/15/2017,Q1 2017,MIL,,"1,106","621,104",621104,,BUY
"22NW, LP",8/14/2017,Q2 2017,VAL,,"1,724","15,536",-15536,-100.0,SELL
"22NW, LP",8/14/2017,Q2 2017,PLPC,,"1,609","30,859",-30859,-100.0,SELL
"22NW, LP",8/14/2017,Q2 2017,,,"1,536","513,845",-513845,-100.0,SELL
"22NW, LP",8/14/2017,Q2 2017,NTIC,,"1,191","65,255",-65255,-100.0,SELL
"22NW, LP",8/14/2017,Q2 2017,DWSN,,"1,144","205,689",-205689,-100.0,SELL
"22NW, LP",8/14/2017,Q2 2017,MIL,,"1,106","621,104",-621104,-100.0,SELL
"22NW, LP",8/14/2017,Q2 2017,BERY,,"22,636","397,046",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,STRL,,"14,634","1,119,638",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,TAST,,"6,963","568,385",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,RLGT,,"6,204","1,153,153",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,MTZ,,"5,402","119,656",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,FSTR,,"4,618","215,284",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,PFMT,,"3,709","1,120,505",30859,2.832020674604413,BUY
"22NW, LP",8/14/2017,Q2 2017,BOOM,,"3,687","281,465",36744,15.01464933536558,BUY
"22NW, LP",8/14/2017,Q2 2017,LINC,,"3,656","1,179,469",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,USAP,,"3,449","176,855",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,,,"2,932","203,597",67263,49.336922557835905,BUY
"22NW, LP",8/14/2017,Q2 2017,,,"2,839","545,944",131115,31.606999510641735,BUY
"22NW, LP",8/14/2017,Q2 2017,VVI,,"2,749","58,185",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,ALSK,,"2,704","1,229,084",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,PRGX,,"2,553","392,792",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,ACNT,,"2,530","223,695",63350,39.50855966821541,BUY
"22NW, LP",8/14/2017,Q2 2017,GLDD,,"2,478","576,215",41400,7.740994549517123,BUY
"22NW, LP",8/14/2017,Q2 2017,LAYN,,"2,402","273,285",25000,10.06907384658759,BUY
"22NW, LP",8/14/2017,Q2 2017,RCKY,,"2,350","174,725",-40290,-18.738227565518685,SELL
"22NW, LP",8/14/2017,Q2 2017,,,"2,290","440,302",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,BAC,,"2,237","92,209",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,SHOR,,"2,188","377,179",92700,32.58588507411795,BUY
"22NW, LP",8/14/2017,Q2 2017,ORN,,"2,072","277,379",28624,11.50690438383148,BUY
"22NW, LP",8/14/2017,Q2 2017,KKR,,"2,042","109,780",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,BGC,,"1,983","121,256",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,GIFI,,"1,965","169,415",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,UTI,,"1,919","537,397",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,SRGA,,"1,777","303,679",-294357,-49.220615481342264,SELL
"22NW, LP",8/14/2017,Q2 2017,KS,,"1,764","85,492",9700,12.798184504960947,BUY
"22NW, LP",8/14/2017,Q2 2017,INFU,,"1,748","999,072",999072,,BUY
"22NW, LP",8/14/2017,Q2 2017,AP,,"1,680","113,891",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,GEOS,,"1,572","113,693",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,,,"1,522","230,244",1431,0.6254015287592926,BUY
"22NW, LP",8/14/2017,Q2 2017,VRTV,,"1,379","30,640",30640,,BUY
"22NW, LP",8/14/2017,Q2 2017,ENG,,"1,332","1,032,713",217714,26.71340701031535,BUY
"22NW, LP",8/14/2017,Q2 2017,TREC,,"1,291","114,770",114770,,BUY
"22NW, LP",8/14/2017,Q2 2017,CROX,,"1,266","164,154",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,MIND,,"1,258","324,123",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,SIF,,"1,202","180,727",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,EVOL,,"1,183","229,752",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,PWR,,"1,159","35,200",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,MS,,"1,154","25,900",0,0.0,HOLD
"22NW, LP",8/14/2017,Q2 2017,MTRX,,"1,101","117,800",117800,,BUY
"22NW, LP",8/14/2017,Q2 2017,RRTS,,"1,090","149,940",149940,,BUY
"22NW, LP",11/14/2017,Q3 2017,VVI,,"2,749","58,185",-58185,-100.0,SELL
"22NW, LP",11/14/2017,Q3 2017,SHOR,,"2,188","377,179",-377179,-100.0,SELL
"22NW, LP",11/14/2017,Q3 2017,KS,,"1,764","85,492",-85492,-100.0,SELL
"22NW, LP",11/14/2017,Q3 2017,AP,,"1,680","113,891",-113891,-100.0,SELL
"22NW, LP",11/14/2017,Q3 2017,,,"1,522","230,244",-230244,-100.0,SELL
"22NW, LP",11/14/2017,Q3 2017,VRTV,,"1,379","30,640",-30640,-100.0,SELL
"22NW, LP",11/14/2017,Q3 2017,EVOL,,"1,183","229,752",-229752,-100.0,SELL
"22NW, LP",11/14/2017,Q3 2017,MS,,"1,154","25,900",-25900,-100.0,SELL
"22NW, LP",11/14/2017,Q3 2017,BERY,,"18,040","318,439",-78607,-19.79795791923354,SELL
"22NW, LP",11/14/2017,Q3 2017,STRL,,"17,052","1,119,638",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,RLGT,,"6,439","1,212,664",59511,5.160720216658154,BUY
"22NW, LP",11/14/2017,Q3 2017,MTZ,,"5,849","126,056",6400,5.348666176372268,BUY
"22NW, LP",11/14/2017,Q3 2017,TAST,,"5,758","528,285",-40100,-7.055077104427457,SELL
"22NW, LP",11/14/2017,Q3 2017,TISI,,"4,378","327,907",327907,,BUY
"22NW, LP",11/14/2017,Q3 2017,FSTR,,"3,921","172,332",-42952,-19.95132011668308,SELL
"22NW, LP",11/14/2017,Q3 2017,,,"3,596","757,084",211140,38.674296264818366,BUY
"22NW, LP",11/14/2017,Q3 2017,LINC,,"2,949","1,179,469",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,,,"2,935","269,228",65631,32.2357402122821,BUY
"22NW, LP",11/14/2017,Q3 2017,BOOM,,"2,891","171,074",-110391,-39.22015170625122,SELL
"22NW, LP",11/14/2017,Q3 2017,USAP,,"2,885","138,355",-38500,-21.769245992479718,SELL
"22NW, LP",11/14/2017,Q3 2017,ACNT,,"2,819","225,538",1843,0.8238896712040947,BUY
"22NW, LP",11/14/2017,Q3 2017,GLDD,,"2,795","576,215",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,ALSK,,"2,790","1,229,084",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,MTRX,,"2,532","166,600",48800,41.42614601018676,BUY
"22NW, LP",11/14/2017,Q3 2017,LAYN,,"2,489","198,337",-74948,-27.424849516072964,SELL
"22NW, LP",11/14/2017,Q3 2017,GIFI,,"2,369","186,526",17111,10.100050172652953,BUY
"22NW, LP",11/14/2017,Q3 2017,,,"2,290","436,277",-4025,-0.9141452911865038,SELL
"22NW, LP",11/14/2017,Q3 2017,BGC,,"2,286","121,256",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,PFMT,,"2,091","1,149,038",28533,2.5464411136050265,BUY
"22NW, LP",11/14/2017,Q3 2017,INFU,,"2,086","1,017,415",18343,1.8360038115371065,BUY
"22NW, LP",11/14/2017,Q3 2017,PRGX,,"2,050","292,792",-100000,-25.458766980997577,SELL
"22NW, LP",11/14/2017,Q3 2017,GEOS,,"2,026","113,693",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,RCKY,,"2,026","151,168",-23557,-13.482329374731721,SELL
"22NW, LP",11/14/2017,Q3 2017,UTI,,"1,865","537,397",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,SRGA,,"1,854","407,370",103691,34.144935935642565,BUY
"22NW, LP",11/14/2017,Q3 2017,AGYS,,"1,821","152,413",152413,,BUY
"22NW, LP",11/14/2017,Q3 2017,ORN,,"1,820","277,379",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,,,"1,696","594,965",594965,,BUY
"22NW, LP",11/14/2017,Q3 2017,CROX,,"1,592","164,154",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,TREC,,"1,526","114,770",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,KKR,,"1,500","73,780",-36000,-32.79285844416105,SELL
"22NW, LP",11/14/2017,Q3 2017,RRTS,,"1,429","149,940",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,PWR,,"1,315","35,200",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,ENG,,"1,312","1,032,713",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,CNDT,,"1,275","81,340",81340,,BUY
"22NW, LP",11/14/2017,Q3 2017,BAC,,"1,171","46,209",-46000,-49.886670498541356,SELL
"22NW, LP",11/14/2017,Q3 2017,MIND,,"1,131","324,123",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,DXPE,,"1,127","35,774",35774,,BUY
"22NW, LP",11/14/2017,Q3 2017,NTIC,,"1,083","65,255",65255,,BUY
"22NW, LP",11/14/2017,Q3 2017,PLPC,,"1,034","15,359",15359,,BUY
"22NW, LP",11/14/2017,Q3 2017,SIF,,"1,030","180,727",0,0.0,HOLD
"22NW, LP",11/14/2017,Q3 2017,HSON,,"1,028","703,982",703982,,BUY
"22NW, LP",2/14/2018,Q4 2017,GEOS,,"2,026","113,693",-113693,-100.0,SELL
"22NW, LP",2/14/2018,Q4 2017,RCKY,,"2,026","151,168",-151168,-100.0,SELL
"22NW, LP",2/14/2018,Q4 2017,CROX,,"1,592","164,154",-164154,-100.0,SELL
"22NW, LP",2/14/2018,Q4 2017,RRTS,,"1,429","149,940",-149940,-100.0,SELL
"22NW, LP",2/14/2018,Q4 2017,ENG,,"1,312","1,032,713",-1032713,-100.0,SELL
"22NW, LP",2/14/2018,Q4 2017,MIND,,"1,131","324,123",-324123,-100.0,SELL
